time_ms,accel_x_mps2,accel_y_mps2,accel_z_mps2
10578444.0,0.98,-6.89,-7.12
10598468.0,0.97,-6.85,-7.12
10618472.0,0.99,-6.86,-7.18
10638516.0,0.96,-6.87,-7.16
10658536.0,0.96,-6.84,-7.18
10678556.0,0.97,-6.83,-7.11
10698556.0,0.96,-6.86,-7.2
10718588.0,0.98,-6.86,-7.14
10738612.0,0.95,-6.85,-7.18
10758636.0,0.95,-6.81,-7.16
10778640.0,0.99,-6.83,-7.15
10798664.0,0.98,-6.89,-7.2
10818684.0,0.96,-6.86,-7.11
10838700.0,0.97,-6.85,-7.11
10858716.0,0.99,-6.84,-7.09
10878740.0,0.98,-6.86,-7.17
10898764.0,0.95,-6.82,-7.19
10918764.0,0.97,-6.88,-7.11
10938784.0,0.95,-6.87,-7.14
10958804.0,0.99,-6.85,-7.07
10978828.0,0.98,-6.88,-7.13
10998840.0,0.94,-6.83,-7.11
11018856.0,0.96,-6.84,-7.19
11038900.0,1.0,-6.87,-7.12
11058920.0,0.94,-6.85,-7.16
11078940.0,0.99,-6.8,-7.1
11098952.0,0.95,-6.85,-7.16
11118972.0,0.98,-6.85,-7.12
11139000.0,0.96,-6.83,-7.16
11159024.0,0.95,-6.86,-7.13
11179044.0,0.97,-6.83,-7.23
11199056.0,0.97,-6.84,-7.13
11219100.0,0.95,-6.84,-7.13
11239120.0,0.96,-6.82,-7.11
11259136.0,0.97,-6.84,-7.1
11279156.0,0.99,-6.85,-7.12
11299184.0,0.96,-6.81,-7.16
11319192.0,0.91,-6.87,-7.17
11339208.0,0.97,-6.88,-7.16
11359224.0,0.95,-6.8,-7.16
11379256.0,0.96,-6.85,-7.15
11399296.0,0.97,-6.86,-7.09
11419308.0,0.94,-6.85,-7.13
11439336.0,0.97,-6.84,-7.15
11459364.0,0.94,-6.86,-7.16
11479392.0,0.93,-6.88,-7.14
11499408.0,0.98,-6.83,-7.12
11519412.0,0.99,-6.82,-7.11
11539448.0,1.0,-6.84,-7.12
11559476.0,0.99,-6.82,-7.13
11579504.0,0.99,-6.83,-7.11
11599512.0,0.96,-6.86,-7.13
11619552.0,0.92,-6.9,-7.17
11639572.0,0.97,-6.87,-7.15
11658996.0,0.97,-6.87,-7.15
11679024.0,1.0,-6.88,-7.11
11699036.0,0.95,-6.88,-7.18
11719056.0,1.0,-6.84,-7.15
11739076.0,0.98,-6.84,-7.11
11759096.0,0.97,-6.88,-7.15
11779132.0,0.97,-6.85,-7.14
11799144.0,1.0,-6.84,-7.18
11819176.0,0.99,-6.85,-7.15
11839180.0,0.96,-6.84,-7.13
11859200.0,1.01,-6.85,-7.15
11879204.0,0.95,-6.86,-7.09
11899224.0,0.98,-6.84,-7.14
11919232.0,0.97,-6.85,-7.15
11939252.0,0.96,-6.87,-7.16
11959288.0,0.97,-6.86,-7.12
11979324.0,0.99,-6.85,-7.09
11999344.0,0.97,-6.84,-7.17
12019340.0,0.97,-6.87,-7.17
12039372.0,0.95,-6.87,-7.21
12059396.0,0.94,-6.85,-7.15
12079428.0,0.98,-6.87,-7.17
12099440.0,0.97,-6.84,-7.22
12119464.0,0.95,-6.87,-7.15
12139504.0,0.97,-6.83,-7.14
12159528.0,0.95,-6.86,-7.14
12179572.0,0.95,-6.89,-7.15
12199576.0,0.94,-6.85,-7.17
12219600.0,0.97,-6.85,-7.17
12239616.0,0.97,-6.83,-7.12
12259644.0,0.97,-6.83,-7.11
12279652.0,0.95,-6.86,-7.12
12299680.0,0.97,-6.86,-7.07
12319696.0,0.98,-6.84,-7.15
12339720.0,0.97,-6.85,-7.15
12359744.0,0.98,-6.83,-7.14
12379752.0,0.95,-6.84,-7.12
12399796.0,0.97,-6.85,-7.18
12419808.0,0.98,-6.83,-7.13
12439828.0,0.97,-6.85,-7.18
12459844.0,0.99,-6.82,-7.17
12479864.0,0.92,-6.86,-7.16
12499880.0,0.94,-6.85,-7.18
12519892.0,0.93,-6.83,-7.19
12539920.0,0.95,-6.84,-7.13
12559940.0,0.9,-6.9,-7.16
12579964.0,0.95,-6.85,-7.13
12599984.0,0.99,-6.85,-7.17
12620004.0,0.91,-6.82,-7.11
12640024.0,0.96,-6.81,-7.13
12660052.0,0.98,-6.84,-7.1
12680060.0,0.96,-6.85,-7.12
12700064.0,0.95,-6.82,-7.15
12720092.0,0.94,-6.81,-7.13
12740160.0,0.98,-6.89,-7.14
12760204.0,0.94,-6.89,-7.09
12780216.0,1.02,-6.88,-7.14
12800240.0,0.99,-6.86,-7.18
12820264.0,0.99,-6.85,-7.12
12840288.0,0.96,-6.85,-7.15
12860308.0,0.96,-6.84,-7.13
12880316.0,0.97,-6.85,-7.18
12900336.0,1.0,-6.86,-7.16
12920356.0,0.95,-6.82,-7.19
12940396.0,1.02,-6.83,-7.14
12960404.0,0.95,-6.84,-7.13
12980436.0,0.94,-6.88,-7.11
13000452.0,0.92,-6.85,-7.15
13020476.0,0.95,-6.83,-7.12
13040484.0,0.94,-6.88,-7.14
13060500.0,0.94,-6.87,-7.14
13080508.0,0.97,-6.88,-7.11
13100532.0,1.0,-6.81,-7.13
13120568.0,0.97,-6.83,-7.15
13140576.0,0.95,-6.87,-7.19
13160612.0,0.93,-6.85,-7.13
13180620.0,0.97,-6.85,-7.16
13200628.0,0.95,-6.89,-7.15
13220648.0,0.99,-6.88,-7.15
13240672.0,0.99,-6.86,-7.1
13260676.0,0.98,-6.8,-7.18
13280692.0,0.94,-6.84,-7.1
13300712.0,0.95,-6.85,-7.18
13320744.0,0.97,-6.86,-7.11
13340780.0,0.95,-6.86,-7.16
13360780.0,0.97,-6.82,-7.14
13380816.0,0.97,-6.83,-7.14
13400844.0,1.01,-6.85,-7.2
13420860.0,0.95,-6.84,-7.14
13440872.0,0.97,-6.85,-7.16
13460884.0,0.96,-6.85,-7.18
13480896.0,0.97,-6.9,-7.17
13500904.0,1.02,-6.85,-7.12
13520920.0,0.96,-6.84,-7.17
13540932.0,0.98,-6.82,-7.16
13560976.0,0.96,-6.81,-7.11
13580988.0,0.94,-6.83,-7.24
13600984.0,0.98,-6.87,-7.16
13621008.0,0.95,-6.84,-7.16
13641028.0,0.96,-6.83,-7.18
13661044.0,0.94,-6.83,-7.13
13681064.0,0.98,-6.85,-7.14
13701088.0,0.96,-6.85,-7.05
13721116.0,0.96,-6.9,-7.16
13741124.0,0.98,-6.84,-7.17
13761128.0,1.0,-6.84,-7.08
13781136.0,0.95,-6.87,-7.13
13801136.0,0.99,-6.83,-7.19
13821164.0,0.94,-6.87,-7.14
13841180.0,0.95,-6.85,-7.18
13861208.0,0.96,-6.86,-7.15
13881224.0,0.98,-6.84,-7.12
13901244.0,0.98,-6.84,-7.18
13921272.0,0.99,-6.85,-7.2
13941312.0,0.96,-6.85,-7.13
13961360.0,0.99,-6.86,-7.12
